nominee_id,nominee_name,nominator_id,nominator_name,year,type
10669,"Derek Harold Richard Barton",15596,"Edgar Heilbronner",1969,C
10669,"Derek Harold Richard Barton",14002,"Albert Eschenmoser",1969,C
10669,"Derek Harold Richard Barton",14162,"G Tsatsas",1966,C
10669,"Derek Harold Richard Barton",15518,"Leslie Hough",1969,C
10669,"Derek Harold Richard Barton",14295,"K Biermann",1966,C
7552,"Sir William Ramsay",14107," Member of the Nobel Committee for chemistry",1904,C
7552,"Sir William Ramsay",9690,"Johan Vogt",1904,C
7552,"Sir William Ramsay",9713,"Adolf J von Baeyer",1902,C
7552,"Sir William Ramsay",9713,"Adolf J von Baeyer",1903,C
7552,"Sir William Ramsay",9713,"Adolf J von Baeyer",1904,C
7552,"Sir William Ramsay",1416,"Waldemar Brögger",1904,C
7552,"Sir William Ramsay",3082,"Fritz Foerster",1903,C
7552,"Sir William Ramsay",7871,"Johan O Rosenberg",1904,C
7552,"Sir William Ramsay",5670,"John Lubbock",1904,C
7552,"Sir William Ramsay",5554,"Adriaan Lobry de Bruyn",1904,C
7552,"Sir William Ramsay",4195,"Thorstein Hiortdahl",1904,C
7552,"Sir William Ramsay",1845,"Per T Cleve",1904,C
7552,"Sir William Ramsay",9778,"Friedrich von Hefner-Alteneck",1902,C
7552,"Sir William Ramsay",3517,"Heinrich Goldschmidt",1904,C
7552,"Sir William Ramsay",9563,"Jacobus H van´t Hoff",1902,C
7552,"Sir William Ramsay",9563,"Jacobus H van´t Hoff",1904,C
7552,"Sir William Ramsay",7249,"Oskar Piloty",1904,C
7552,"Sir William Ramsay",3022,"Emil H Fischer",1904,C
7552,"Sir William Ramsay",1040,"Carl A Bischoff",1904,C
7552,"Sir William Ramsay",8966,"Henrik Söderbaum",1903,C
7552,"Sir William Ramsay",8966,"Henrik Söderbaum",1904,C
7552,"Sir William Ramsay",7185,"Otto Pettersson",1903,C
7552,"Sir William Ramsay",7185,"Otto Pettersson",1904,C
7552,"Sir William Ramsay",4959,"Fritz Kohlrausch",1904,C
7552,"Sir William Ramsay",673,"Max Bamberger",1904,C
7552,"Sir William Ramsay",1304,"Bohuslav Brauner",1904,C
7552,"Sir William Ramsay",3737,"Philippe-Auguste Guye",1904,C
7552,"Sir William Ramsay",1802,"Giacomo Ciamician",1904,C
7552,"Sir William Ramsay",4951,"Wilhelm Koenigs",1904,C
7552,"Sir William Ramsay",4255,"Karl Hofmann",1904,C
6445,"Harmon N Morse",4624,"Harry C Jones",1903,C
6445,"Harmon N Morse",4624,"Harry C Jones",1910,C
8800,"Alfred Stock",4898,"Alfons Klemenc",1929,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1959,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1961,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1958,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1962,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1957,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1960,C
10610,"Karl W Ziegler",8746,"Hermann Staudinger",1963,C
10610,"Karl W Ziegler",13063,"L Horner",1963,C
10610,"Karl W Ziegler",10836,"A Lüttringhaus",1957,C
10610,"Karl W Ziegler",11151,"U Wannagat",1961,C
10610,"Karl W Ziegler",10996,"G R Schultze",1959,C
10610,"Karl W Ziegler",2990,"Louis F Fieser",1960,C
10610,"Karl W Ziegler",6562,"Erwin Wilhelm Müller",1960,C
10610,"Karl W Ziegler",10644,"H Hopff",1961,C
10610,"Karl W Ziegler",9751,"Hans K von Euler-Chelpin",1960,C
10610,"Karl W Ziegler",13065,"H A Stuart",1963,C
10610,"Karl W Ziegler",10914,"K A Krieger",1958,C
10610,"Karl W Ziegler",1487,"Adolf F Butenandt",1960,C
10610,"Karl W Ziegler",1487,"Adolf F Butenandt",1962,C
10610,"Karl W Ziegler",1487,"Adolf F Butenandt",1961,C
10610,"Karl W Ziegler",13064,"J Néel",1963,C
10610,"Karl W Ziegler",10738,"H Staude",1956,C
10610,"Karl W Ziegler",10731,"W Kern",1963,C
10610,"Karl W Ziegler",10915,"G O Schlenk",1958,C
10610,"Karl W Ziegler",10611,"G O Schenck",1954,C
10610,"Karl W Ziegler",10913,"K W Merz",1958,C
10610,"Karl W Ziegler",10920,"D O Jordan",1958,C
10610,"Karl W Ziegler",10512,"H H Schlubach",1960,C
10610,"Karl W Ziegler",11152,"H O Huisman",1961,C
10610,"Karl W Ziegler",11149,"C Kröger",1961,C
10610,"Karl W Ziegler",11150,"Maria Lipp",1961,C
10610,"Karl W Ziegler",10600,"Oskar Max Glemser",1958,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1959,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1961,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1958,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1962,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1957,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1960,C
10651,"Giulio Natta",8746,"Hermann Staudinger",1963,C
10651,"Giulio Natta",13063,"L Horner",1963,C
10651,"Giulio Natta",10538,"Emilio Segrè",1961,C
10651,"Giulio Natta",13061,"A J Staverman",1963,C
10651,"Giulio Natta",10996,"G R Schultze",1959,C
10651,"Giulio Natta",2990,"Louis F Fieser",1960,C
10651,"Giulio Natta",10652,"A Quilico",1961,C
10651,"Giulio Natta",10652,"A Quilico",1955,C
10651,"Giulio Natta",10556,"C.J. F Böttcher",1963,C
10651,"Giulio Natta",11138,"Kozo Hirota",1961,C
10651,"Giulio Natta",11075,"O T Rotini",1960,C
10651,"Giulio Natta",13037,"M Mandel",1963,C
10651,"Giulio Natta",10982,"G Speroni",1959,C
10651,"Giulio Natta",13036,"A V Tobolski",1963,C
10651,"Giulio Natta",10644,"H Hopff",1961,C
10651,"Giulio Natta",13065,"H A Stuart",1963,C
10651,"Giulio Natta",13064,"J Néel",1963,C
10651,"Giulio Natta",11139,"M Simonetta",1961,C
10651,"Giulio Natta",10893,"M Giua",1958,C
10651,"Giulio Natta",10731,"W Kern",1963,C
10651,"Giulio Natta",13035,"G Sartori",1963,C
10651,"Giulio Natta",10653,"Roberto Piontelli",1961,C
10651,"Giulio Natta",10653,"Roberto Piontelli",1955,C
10651,"Giulio Natta",13038,"W Kauzmann",1963,C
10651,"Giulio Natta",10813,"V Caglioti",1957,C
10651,"Giulio Natta",10813,"V Caglioti",1963,C
10651,"Giulio Natta",11076,"M Baccaredda-Boy",1960,C
10651,"Giulio Natta",10920,"D O Jordan",1958,C
10651,"Giulio Natta",10895,"M Milone",1958,C
10651,"Giulio Natta",8031,"C Sadron",1957,C
10651,"Giulio Natta",11079,"C A Rossi",1960,C
10651,"Giulio Natta",10603,"M Giordani",1963,C
10651,"Giulio Natta",11078,"Eolo Scrocco",1960,C
10651,"Giulio Natta",11077,"Piero Pino",1960,C
10651,"Giulio Natta",10981,"G Canneri",1959,C
10651,"Giulio Natta",13034,"L Panizzi",1963,C
10651,"Giulio Natta",10894,"A Nasini",1958,C
10651,"Giulio Natta",1151,"Giovanni B Bonino",1962,C
1853,"Klaus Clusius",8746,"Hermann Staudinger",1959,C
1853,"Klaus Clusius",8746,"Hermann Staudinger",1956,C
1853,"Klaus Clusius",8746,"Hermann Staudinger",1955,C
1853,"Klaus Clusius",11124,"H Mohler",1961,C
1853,"Klaus Clusius",5765,"Felix Machatschki",1955,C
1853,"Klaus Clusius",5765,"Felix Machatschki",1950,C
1853,"Klaus Clusius",3787,"Otto Hahn",1953,C
1853,"Klaus Clusius",3787,"Otto Hahn",1951,C
1853,"Klaus Clusius",3787,"Otto Hahn",1954,C
1853,"Klaus Clusius",3787,"Otto Hahn",1948,C
1853,"Klaus Clusius",3787,"Otto Hahn",1949,C
1853,"Klaus Clusius",3787,"Otto Hahn",1946,C
1853,"Klaus Clusius",3453,"Jan Gillis",1944,C
1853,"Klaus Clusius",10680,"Sydney Chapman",1958,C
1853,"Klaus Clusius",9751,"Hans K von Euler-Chelpin",1955,C
1853,"Klaus Clusius",9807,"Max von Laue",1951,C
1853,"Klaus Clusius",9807,"Max von Laue",1950,C
1853,"Klaus Clusius",8915,"Theodor Svedberg",1957,C
1853,"Klaus Clusius",8915,"Theodor Svedberg",1952,C
1853,"Klaus Clusius",10166,"Heinrich O Wieland",1948,C
1853,"Klaus Clusius",4719,"Paul Karrer",1956,C
1853,"Klaus Clusius",548,"Adriaan H.W Aten Jr",1956,C
1853,"Klaus Clusius",10645,"H Nowotny",1955,C
1853,"Klaus Clusius",10644,"H Hopff",1955,C
1853,"Klaus Clusius",359,"Kurt Alder",1958,C
1853,"Klaus Clusius",359,"Kurt Alder",1957,C
1853,"Klaus Clusius",359,"Kurt Alder",1956,C
1853,"Klaus Clusius",359,"Kurt Alder",1954,C
1853,"Klaus Clusius",359,"Kurt Alder",1955,C
1853,"Klaus Clusius",9461,"Harold Clayton Urey",1948,C
1853,"Klaus Clusius",2702,"John Eggert",1948,C
1853,"Klaus Clusius",1345,"Emile Briner",1952,C
1853,"Klaus Clusius",1345,"Emile Briner",1947,C
1853,"Klaus Clusius",7511,"Paul Rabe",1952,C
1853,"Klaus Clusius",6239,"Kurt H Meyer",1944,C
1853,"Klaus Clusius",9282,"Arne W Tiselius",1957,C
1853,"Klaus Clusius",1487,"Adolf F Butenandt",1952,C
1853,"Klaus Clusius",1487,"Adolf F Butenandt",1951,C
1853,"Klaus Clusius",4159,"Walter Hieber",1948,C
8746,"Hermann Staudinger",2988,"Hans E Fierz-David",1934,C
8746,"Hermann Staudinger",2988,"Hans E Fierz-David",1946,C
8746,"Hermann Staudinger",2988,"Hans E Fierz-David",1953,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1950,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1953,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1949,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1951,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1952,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1947,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1946,C
8746,"Hermann Staudinger",4844,"Sulo Kilpi",1948,C
8746,"Hermann Staudinger",10835,"H Bredereck",1953,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1948,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1952,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1951,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1950,C
8746,"Hermann Staudinger",9296,"Niilo J Toivonen",1946,C
