nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
Adolf J von Baeyer	15	15	1
Adolph Frank	4	4	0
Albert Recoura	5	1	0
Albin Haller	19	12	0
Albrecht Kossel	1	1	0
Alexander Tschirch	3	2	0
Alfred Werner	17	16	1
Amé Pictet	3	2	0
Angelo Angeli	7	3	0
Armand Gautier	2	2	0
Arthur Amos Noyes	1	1	0
Arthur R Hantzsch	1	1	0
Arthur Ramén	1	1	0
Carl Bosch	6	6	1
Carl Engler	5	3	0
Carl Harries	7	5	0
Carl Liebermann	1	1	0
Charles G Darwin	1	1	0
Dmitri Mendeleev	9	6	0
Edmund von Lippmann	1	1	0
Edouard Branly	1	1	0
Eduard Buchner	3	3	1
Edward C Franklin	2	1	0
Edward W Morley	3	3	0
Emanuele Paterno	1	1	0
Emil Abderhalden	2	2	0
Emil H Fischer	11	9	1
Emile Bourquelot	1	1	0
Emilio Noelting	1	1	0
Ernest Lord Rutherford	4	3	1
Ernst Schmidt	1	1	0
Eugen Herzfeld	1	1	0
Felix Ehrlich	1	1	0
Frank W Clarke	1	1	0
Frederick Soddy	5	3	1
Fredrik Kjellin	1	1	0
Fritz Haber	10	9	1
Fritz Pregl	2	2	1
Gabriel Bertrand	1	1	0
Georg Lunge	2	2	0
Georges Urbain	27	6	0
Giacomo Ciamician	14	12	0
Gustaf de Laval	1	1	0
Gustav Tammann	2	2	0
Hans Landolt	3	2	0
Harmon N Morse	2	1	0
Hartog J Hamburger	1	1	0
Heike Kamerlingh Onnes	3	2	0
Heinrich Caro	2	2	0
Henri Moissan	41	31	1
Henry G Moseley	1	1	0
Henry Le Châtelier	14	10	0
Hilaire de Chardonnet	1	1	0
Jacobus H van´t Hoff	11	11	1
Jean B Perrin	6	4	0
Jean B Senderens	1	1	0
Johannes Wislicenus	1	1	0
Joseph M Eder	1	1	0
Karol Olszewski	1	1	0
Knut J Beskow	1	1	0
Kristian Birkeland	9	6	0
Leon Marchlewski	2	2	0
Marcellin Berthelot	12	11	0
Marie Curie	2	2	1
Martinus W Beijerinck	2	1	0
Mikhail Tsvet	1	1	0
Niels Bohr	1	1	0
Ossian Aschan	5	1	0
Otto Fischer	1	1	0
Otto Hahn	1	1	1
Otto W Schönherr	2	2	0
Otto Wallach	5	5	1
Paul Ehrlich	1	1	0
Paul Sabatier	7	6	1
Paul Walden	4	3	0
Philippe Barbier	3	2	0
Philippe-Auguste Guye	13	4	0
Pierre E Martin	2	2	0
Richard A Zsigmondy	3	2	1
Richard M Willstätter	28	20	1
Rudolf Knietsch	1	1	0
Sachachiro Hata	1	1	0
Samuel Eyde	8	5	0
Sir James Dewar	3	2	0
Sir William Henry Bragg	1	1	0
Sir William Ramsay	30	25	1
Sophus M Jörgensen	2	2	0
Stanislao Cannizzaro	3	3	0
Svante A Arrhenius	20	13	1
Theodor Curtius	21	12	0
Theodor Svedberg	8	7	1
Theodor Zincke	1	1	0
Theodore W Richards	33	17	1
Victor Grignard	6	4	1
Walther H Nernst	59	35	1
Walthère Spring	1	1	0
Wilhelm Ostwald	20	15	1
Wilhelm Schlenk	2	2	0
William Crookes	6	4	0
William H Perkin Jr	13	9	0
William J Pope	2	2	0
William Küster	2	2	0
Wolcott Gibbs	1	1	0
Zdenko H Skraup	1	1	0
