nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky]	1	1	0
Severo Ochoa	7	4	0
Sir Alexander Robertus Todd	21	18	1
Sir Christopher Kelk Ingold	55	35	0
Sir Cyril Norman Hinshelwood	12	9	1
Sir Eric Keightley Rideal	1	1	0
Sir Ernest Lawrence Kennaway	2	2	0
Sir Francis E Simon	2	1	0
Sir Ian Morris Heilbron	5	3	0
Tadeus Reichstein	15	10	0
Thérèse Tréfouël	1	1	0
Vincent du Vigneaud	30	27	1
Vladimir N Ipatieff	9	7	0
Vladimir Prelog	12	4	0
Walter H Schottky	3	2	0
Walter Heinrich Heitler	4	4	0
Walter Hieber	1	1	0
Walter Reppe	62	32	0
Walther Kossel	1	1	0
Wendell M Latimer	1	1	0
Wendell M Stanley	9	5	1
Werner Kuhn	11	3	0
Wilhelm Gerhard Burgers	1	1	0
Willard Frank Libby	28	19	1
William C Rose	5	4	0
William F Giauque	11	7	1
William G Pfann	3	2	0
William Hume-Rothery	2	1	0
William von Eggers Doering	2	2	0
Wojciech Swiętosławski	11	10	0
Yasuhiko Asahina	2	2	0
Yevgeny Konstantinovich Zavoisky	2	2	0
Yoshiyuki Toyama	2	2	0
