nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
Adolf F Butenandt	6	5	1
Adolf O Windaus	7	7	1
Albin Haller	4	4	0
Alfred Hess	1	1	0
Alfred Stock	1	1	0
Amé Pictet	8	6	0
André Debierne	1	1	0
Angelo Angeli	6	5	0
Arnold Eucken	2	2	0
Arnold F Holleman	1	1	0
Arthur Binz	1	1	0
Arthur Harden	1	1	1
Arthur R Hantzsch	1	1	0
Arthur Stoll	2	1	0
Artturi I Virtanen	14	2	1
Bruno Tacke	2	1	0
Carl A Neuberg	17	12	0
Carl Auer von Welsbach	7	6	0
Carl Bosch	13	13	1
Carl F Schmidt	2	2	0
Casimir Funk	1	1	0
Charles Dufraisse	1	1	0
Charles Moureu	2	2	0
Charles R Harington	1	1	0
Colin G Fink	1	1	0
Conrad A Elvehjem	1	1	0
Curt Räth	1	1	0
Dirk Coster	9	9	0
Dorothy M Wrinch	2	2	0
Edward W Washburn	1	1	0
Emil Votocek	3	3	0
Enrico Fermi	3	3	0
Erik Hägglund	1	1	0
Ernest F Fourneau	2	2	0
Ernst Cohen	1	1	0
Ernst Späth	1	1	0
Francesco Giordani	4	4	0
Francis W Aston	1	1	1
Franz Fischer	1	1	0
Frédéric Joliot	3	3	1
Frédéric Swarts	12	11	0
Frederick B Power	2	2	0
Frederick C Bawden	1	1	0
Frederick G Donnan	2	2	0
Friedrich (Fritz) Adolf Paneth	4	4	0
Friedrich Bergius	2	2	1
Friedrich Emich	2	1	0
Fritz Foerster	1	1	0
Fritz Hofmann	2	2	0
Fritz Kögl	24	14	0
Fritz London	1	1	0
Fritz Pregl	4	4	1
Fritz Weigert	1	1	0
Gabriel Bertrand	11	4	0
Georg Bredig	1	1	0
George Barger	1	1	0
George de Hevesy	26	25	1
George O Curme	1	1	0
Georges Urbain	29	20	0
Giacomo Ciamician	2	2	0
Gilbert N Lewis	34	25	0
Giuseppe Oddo	1	1	0
Gustaf Komppa	1	1	0
Gustav G Embden	1	1	0
Gustav Tammann	33	24	0
Hans Fischer	15	14	1
Hans K von Euler-Chelpin	16	8	1
Harold Clayton Urey	1	1	1
Heinrich O Wieland	12	9	1
Henri Meulen	1	1	0
Henry Le Châtelier	17	13	0
Henry Siedentopf	2	1	0
Herbert B Baker	1	1	0
Herbert Freundlich	3	2	0
Hermann Staudinger	20	7	1
Hugo A Theorell	4	2	0
Ida Noddack	4	4	0
Irène Joliot-Curie	3	3	1
Irving Langmuir	10	9	1
Jacob Böeseken	1	1	0
Jacob Heslinga	1	1	0
Jacques Tréfouël	4	1	0
James C Irvine	3	2	0
Jaroslav Heyrovský	15	10	1
Jean B Perrin	5	3	0
Jean B Senderens	2	1	0
Jens Möller	1	1	0
Johannes J van Laar	1	1	0
Johannes N Brönsted	2	2	0
John H Northrop	1	1	1
John J Abel	5	3	0
Joseph M Eder	9	9	0
Julius Bredt	1	1	0
Karl von Auwers	4	4	0
Karl-Friedrich O Bonhoeffer	3	3	0
Kasimir Fajans	6	6	0
Kurt Alder	1	1	1
Kurt Bennewitz	1	1	0
Kurt Peters	1	1	0
Leopold Ruzicka	22	21	1
Linus C Pauling	3	2	1
Lise Meitner	13	5	0
Louis C Maillard	1	1	0
Marc Tiffeneau	1	1	0
Maurice Piettre	1	1	0
Max Bergmann	2	1	0
Max Bodenstein	15	7	0
Moses Gomberg	16	16	0
Niels Bjerrum	2	2	0
Niels Bohr	1	1	0
Nikodem Caro	3	2	0
Norman W Pirie	1	1	0
Olaf Hammarsten	1	1	0
Ossian Aschan	2	2	0
Otto H Warburg	2	2	0
Otto Hahn	14	7	1
Otto Hönigschmid	1	1	0
Otto P Diels	25	12	1
Otto Ruff	13	5	0
Paul Harteck	1	1	0
Paul Job	1	1	0
Paul Karrer	28	21	1
Paul Sabatier	2	1	1
Paul V Pascal	2	1	0
Paul Walden	2	2	0
Percy W Bridgman	1	1	0
Peter Klason	4	3	0
Petrus J Debye	14	12	1
Philippe-Auguste Guye	5	4	0
Phoebus A Levene	1	1	0
Piero Ginori-Conti	1	1	0
Richard A Zsigmondy	8	7	1
Richard Kuhn	8	6	1
Robert Robinson	39	20	1
Robley Cook Williams	2	2	0
Samuel C Lind	1	1	0
Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky]	1	1	0
Sir Christopher Kelk Ingold	2	1	0
Sir Frederick G Hopkins	1	1	0
Sir Walter Norman Haworth	16	13	1
Sören P Sörensen	19	12	0
Theodor Curtius	10	9	0
Theodor Svedberg	3	2	1
Umetaro Suzuki	2	2	0
Victor Grignard	1	1	1
Victor Henri	1	1	0
Victor M Goldschmidt	11	9	0
Vladimir N Ipatieff	1	1	0
Walter Noddack	9	6	0
Walther H Nernst	17	17	1
Wendell M Stanley	4	2	1
Werner Kuhn	1	1	0
Werner Schulemann	1	1	0
Wilhelm Schlenk	3	2	0
William A Bone	1	1	0
William D Harkins	1	1	0
William F Giauque	3	2	1
William H Perkin Jr	2	2	0
William J Pope	1	1	0
Wojciech Swiętosławski	3	3	0
