nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
Frederick Sanger	17	16	1
Frederick Soddy	5	3	1
Fredrik Kjellin	1	1	0
Friedrich (Fritz) Adolf Paneth	35	17	0
Friedrich Bergius	2	2	1
Friedrich Emich	2	1	0
Friedrich Emil Brauns	1	1	0
Friedrich Hund	2	2	0
Friedrich Richter	1	1	0
Frits Zernike	2	2	0
Fritz Albert Lipmann	3	2	0
Fritz Arndt	7	1	0
Fritz Feigl	11	7	0
Fritz Foerster	1	1	0
Fritz Haber	10	9	1
Fritz Hofmann	2	2	0
Fritz Kögl	35	24	0
Fritz London	4	4	0
Fritz Pregl	6	6	1
Fritz Weigert	1	1	0
G H de Haas	1	1	0
G I Arnon	2	2	0
G L Stadnikov	1	1	0
Gabriel Bertrand	24	15	0
Gaston Charlot	1	1	0
Geoffrey Ingram Taylor	1	1	0
Geoffrey Wilkinson	7	5	0
Georg Bredig	1	1	0
Georg Lunge	2	2	0
Georg Wittig	62	47	0
Georg-Maria M Schwab	3	3	0
George Andrew Olah	2	1	0
George Barger	1	1	0
George de Hevesy	31	30	1
George Joseph Popjàk	10	6	0
George M Dyson	1	1	0
George O Curme	1	1	0
George Porter	7	7	1
George Scatchard	1	1	0
George Simms Hammond	1	1	0
George W Heise	1	1	0
George Wald	1	1	0
George Wells Beadle	5	5	0
Georges Lemaître	1	1	0
Georges Léon Chaudron	10	9	0
Georges Urbain	56	26	0
Georgy Nikolayevich Flerov	3	2	0
Gerhard Dickel	1	1	0
Gerhard Herzberg	14	10	0
Gerhard Schramm	10	4	0
Gerold Karl Schwarzenbach	8	6	0
Giacomo Ciamician	16	14	0
Gilbert N Lewis	41	29	0
Gilbert Stork	2	2	0
Giorgio Piccardi	1	1	0
Giulio Natta	44	35	1
Giuseppe Oddo	1	1	0
Gladwyn A Buttle	1	1	0
Glenn E Sheline	1	1	0
Glenn Theodore Seaborg	24	23	1
Gopalasamudram Narayanan Ramachandran	1	1	0
Gunnar Blix	1	1	0
Gunter Scheibe	1	1	0
Gustaf de Laval	1	1	0
Gustaf Komppa	18	9	0
Gustav G Embden	1	1	0
Gustav Tammann	35	26	0
H H Claassen	6	5	0
H H Classen	1	1	0
H J Emeléus	1	1	0
H M Frey	1	1	0
H Schmid	1	1	0
H Selig	7	6	0
H Witt	1	1	0
H. T. F. Wieland	1	1	0
Hans Adolf Krebs	7	5	0
Hans Fischer	15	14	1
Hans K von Euler-Chelpin	16	8	1
Hans Landolt	3	2	0
Hans Lebrecht Meerwein	27	13	0
Hans Tuppy	1	1	0
Hans Vogt	1	1	0
Har Gobind Khorana	14	12	0
Harden M McConnell	3	2	0
Harland G Wood	9	9	0
Harmon N Morse	2	1	0
Harold Clayton Urey	1	1	1
Harry George Drickamer	9	3	0
Harry Steenbock	1	1	0
Hartog J Hamburger	1	1	0
Heike Kamerlingh Onnes	3	2	0
Heinrich Caro	2	2	0
Heinrich O Wieland	12	9	1
Heinz L Fraenckel-Conrat	5	3	0
Helmut Zahn	1	1	0
Henri Devaux	1	1	0
Henri Meulen	1	1	0
Henri Moissan	41	31	1
Henri Normant	7	6	0
Henrik Gunnar Lundegårdh	1	1	0
Henry Eyring	25	23	0
Henry G Moseley	1	1	0
Henry Le Châtelier	31	23	0
Henry Siedentopf	2	1	0
Herbert B Baker	1	1	0
Herbert C Brown	13	10	0
Herbert Freundlich	3	2	0
Herbert Spencer Harned	1	1	0
Herman Francis Mark	8	7	0
Hermann Irving Schlesinger	26	13	0
Hermann Mark	1	1	0
Hermann Staudinger	74	34	1
Hilaire de Chardonnet	1	1	0
Horace Albert Barker	1	1	0
Howard Cary	1	1	0
Hugh S Taylor	1	1	0
Hugo A Theorell	24	15	0
I Zvara	1	1	0
Ida Noddack	4	4	0
Ilya Prigogine	2	2	0
Irène Joliot-Curie	3	3	1
Irving Langmuir	10	9	1
Isadore Perlman	1	1	0
Iwan Nikolov N Stranski	3	2	0
Izaak M Kolthoff	3	3	0
J B Zeldovic	1	1	0
J E Carnahan	1	1	0
J F Hyde	1	1	0
J Filosa	1	1	0
J G Malm	7	6	0
J Hine	1	1	0
J J Lingane	1	1	0
J Jacob	1	1	0
J M Buchanan	1	1	0
J W Boag	1	1	0
Jacob Böeseken	1	1	0
Jacob Heslinga	1	1	0
Jacobus H van´t Hoff	11	11	1
Jacques Bénard	1	1	0
Jacques Monod	1	1	0
Jacques Tréfouël	9	4	0
James B Sumner	8	7	1
James Baddiley	2	2	0
James C Irvine	3	2	0
James D Watson	7	7	0
James Wilfred Cook	4	4	0
Jannik Bjerrum	13	6	0
Jaroslav Heyrovský	51	41	1
Jean B Perrin	11	7	0
Jean B Senderens	3	2	0
Jean Brachet	5	4	0
Jean Lecomte	1	1	0
Jean Roche	3	1	0
Jens Möller	1	1	0
Jerker Porath	3	2	0
Jerome L Karle	1	1	0
Joan P Folkes	1	1	0
Johan Arvid Hedvall	34	15	0
Johannes Hans Daniel Jensen	1	1	0
Johannes J van Laar	1	1	0
Johannes Martin Bijvoet	28	21	0
Johannes N Brönsted	4	4	0
Johannes Wislicenus	1	1	0
John C Kendrew	11	9	1
John Charles Polanyi	1	1	0
John Clarks Slater	8	4	0
John Desmond Bernal	1	1	0
John G Aston	2	2	0
John H Northrop	17	12	1
John J Abel	5	3	0
John Monteath Robertson	2	2	0
John O’Mara Bockris	1	1	0
John W Hamaker	1	1	0
John Warcup Cornforth Jr	13	8	0
