_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db535c1ae1691ad07188e,1904,1904,0,1,,1304,Bohuslav Brauner,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad07188f,1904,1904,0,1,,3737,Philippe-Auguste Guye,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad071890,1904,1904,0,1,,1802,Giacomo Ciamician,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad071891,1904,1904,0,1,,4951,Wilhelm Koenigs,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad071892,1904,1904,0,1,,4255,Karl Hofmann,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad07188a,1903,1904,1,2,,8966,Henrik Söderbaum,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad07188b,1903,1904,1,2,,7185,Otto Pettersson,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad07187c,1902,1904,2,3,C in 1905|,9713,Adolf J von Baeyer,C in 1904|,7552,Sir William Ramsay,1
633db535c1ae1691ad071886,1902,1904,2,2,C in 1901|,9563,Jacobus H van´t Hoff,C in 1904|,7552,Sir William Ramsay,1
633db536c1ae1691ad071909,1905,1905,0,1,,9704,Jacob Volhard,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad07190a,1905,1905,0,1,,6694,Rudolf Nietzki,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad07190b,1904,1904,0,1,,5554,Adriaan Lobry de Bruyn,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad07190c,1905,1905,0,1,,823,Robert Behrend,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad07190d,1905,1905,0,1,,2824,Emil Erlenmeyer,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad07190e,1905,1905,0,1,,6909,Hermann Ost,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad07190f,1905,1905,0,1,C in 1914|,7707,Theodore W Richards,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071910,1905,1905,0,1,,7975,Hans Rupe,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071911,1903,1903,0,1,,9300,Bernhard Tollens,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071912,1905,1905,0,1,,8134,Eduard Schaer,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071913,1905,1905,0,1,,8423,Karl Seubert,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071914,1902,1902,0,1,,5467,Carl Liebermann,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071915,1903,1903,0,1,,1217,Charles J Bouchard,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071916,1904,1904,0,1,,3585,Carl Graebe,C in 1905|,9713,Adolf J von Baeyer,1
633db536c1ae1691ad071917,1905,1905,0,1,,9216,Johannes Thiele,C in 1905|,9713,Adolf J von Baeyer,1
633db537c1ae1691ad071b81,1906,1906,0,1,,2132,Gaston Darboux,C in 1906|,6352,Henri Moissan,1
633db537c1ae1691ad071b82,1905,1905,0,1,,2749,Åke G Ekstrand,C in 1906|,6352,Henri Moissan,1
