nominee_id	nominee_name	year_NP	n nomin	range	NP
8815	Arthur Stoll	None	11	18	0
7361	Albert Portevin	None	5	18	0
4021	Walter Heinrich Heitler	None	4	17	0
2875	Henry Eyring	None	7	16	0
5523	Karl Paul Link	None	2	16	0
4154	Jaroslav Heyrovský	1959	41	15	1
1853	Klaus Clusius	None	38	15	0
953	Gabriel Bertrand	None	13	15	0
7045	Linus C Pauling	1954	62	14	1
10302	Robert Burns Woodward	1965	47	14	1
8746	Hermann Staudinger	1953	64	12	1
4461	Sir Christopher Kelk Ingold	None	47	12	0
3986	Johan Arvid Hedvall	None	32	12	0
2555	Vincent du Vigneaud	1955	30	12	1
6085	Hans Lebrecht Meerwein	None	15	12	0
305	Roger Adams	None	10	12	0
7663	Walter Reppe	None	60	11	0
8398	Nikolay Nikolaevich Semenov	1956	7	11	1
4768	David Keilin	None	6	11	0
7007	Paul V Pascal	None	4	11	0
10207	Robley Cook Williams	None	3	11	0
6968	Friedrich (Fritz) Adolf Paneth	None	31	10	0
8188	Hermann Irving Schlesinger	None	24	10	0
1550	Melvin Calvin	1961	19	10	1
5118	Fritz Kögl	None	17	10	0
8933	Wojciech Swiętosławski	None	11	10	0
10685	Dorothy Crowfoot Hodgkin	1964	10	10	1
2577	Charles Dufraisse	None	7	10	0
7866	William C Rose	None	5	10	0
1933	James Wilfred Cook	None	4	10	0
5458	Willard Frank Libby	1960	28	9	1
8323	Glenn Theodore Seaborg	1951	24	9	1
4823	Morris S Kharasch	None	21	9	0
4194	Sir Cyril Norman Hinshelwood	1956	12	9	1
4482	Vladimir N Ipatieff	None	9	9	0
5455	Choh Hao Li	None	7	9	0
3096	Karl A Folkers	None	4	9	0
7146	Max Ferdinand Perutz	1962	3	9	1
1930	Edward Joseph Conway	None	2	9	0
2016	Lyman C Craig	None	27	8	0
9289	Sir Alexander Robertus Todd	1957	21	8	1
2432	Otto P Diels	1950	8	8	1
5085	Werner Kuhn	None	7	8	0
359	Kurt Alder	1950	6	8	1
5504	Kaj Ulrik Linderstrøm-Lang 	None	4	8	0
5597	Fritz London	None	2	8	0
7631	Tadeus Reichstein	None	15	7	0
3418	William F Giauque	1949	12	7	1
9338	Jacques Tréfouël	None	8	7	0
6097	Lise Meitner	None	7	7	0
3072	Paul J Flory	1974	4	7	1
9940	Paul Walden	None	3	7	0
6504	Robert Sanderson Mulliken	1966	2	7	1
7783	Robert Robinson	1947	25	6	1
10610	Karl W Ziegler	1963	18	6	1
8092	Frederick Sanger	1958	17	6	1
7110	Marguerite Perey	None	2	6	0
10651	Giulio Natta	1963	21	5	1
6764	John H Northrop	1946	16	5	1
10476	Lars Onsager	1968	11	5	1
8731	Wendell M Stanley	1946	10	5	1
10538	Emilio Segrè	None	9	5	0
8895	James B Sumner	1946	8	5	1
5441	Gilbert N Lewis	None	8	5	0
3787	Otto Hahn	1944	8	5	1
10665	Max Volmer	None	7	5	0
10494	William Hume-Rothery	None	2	5	0
3212	Karl Johann Freudenberg	None	13	4	0
10086	Chester H Werkman	None	11	4	0
9668	Artturi I Virtanen	1945	11	4	1
5042	Hans Adolf Krebs	None	7	4	0
782	George Wells Beadle	None	5	4	0
10742	Heinz L Fraenckel-Conrat	None	2	4	0
3995	Michael J Heidelberger	None	2	4	0
5997	Joseph Mattauch	None	2	4	0
9549	Donald D van Slyke	None	2	4	0
9207	Hugo A Theorell	None	21	3	0
4977	Gustaf Komppa	None	17	3	0
10299	Harland G Wood	None	9	3	0
6817	Severo Ochoa	None	7	3	0
2235	George de Hevesy	1943	5	3	1
10521	Ralph Walter G Wyckoff	None	4	3	0
6062	Edwin Mattison McMillan	1951	4	3	1
5945	Archer John Porter Martin	1952	6	2	1
10657	Georg Wittig	None	5	2	0
4006	Sir Ian Morris Heilbron	None	5	2	0
10831	Carl Wilhelm Wagner	None	5	2	0
11118	Jannik Bjerrum	None	4	2	0
5529	Fritz Albert Lipmann	None	3	2	0
8946	Richard L M Synge	1952	3	2	1
10646	Fritz Feigl	None	2	2	0
5505	Axel E Lindh	None	2	2	0
10904	Gerold Karl Schwarzenbach	None	2	2	0
4791	Sir Ernest Lawrence Kennaway	None	2	2	0
8542	Sir Francis E Simon	None	2	2	0
11155	Gerhard Herzberg	None	2	2	0
10860	Yevgeny Konstantinovich Zavoisky	None	2	2	0
4527	Pierre Jacquet	None	2	2	0
9282	Arne W Tiselius	1948	6	1	1
7400	Vladimir Prelog	None	5	1	0
5722	Feodor Lynen	None	3	1	0
2466	William von Eggers Doering	None	2	1	0
10983	William G Pfann	None	2	1	0
10739	Alexander E Arbuzov	None	2	1	0
10654	George Porter	1967	2	1	1
1925	Raphael Consden	None	2	1	0
3554	Arthur H Gordon	None	2	1	0
518	Yasuhiko Asahina	None	2	1	0
1419	Johannes N Brönsted	None	2	1	0
7317	Michael Polanyi	None	2	1	0
3236	Otto Robert Frisch	None	2	1	0
9933	Selman A Waksman	None	2	1	0
3469	Domingo Giribaldo	None	4	0	0
6696	Paul Niggli	None	4	0	0
9015	Edward Lawrie Tatum	None	4	0	0
3254	Alexander Naumovich Frumkin	None	3	0	0
11084	Roger J Williams	None	3	0	0
2990	Louis F Fieser	None	2	0	0
10492	Claude S Hudson	None	2	0	0
5093	Moses Kunitz	None	2	0	0
10397	Frits Zernike	None	2	0	0
10939	Walter H Schottky	None	2	0	0
10907	Yoshiyuki Toyama	None	2	0	0
10669	Derek Harold Richard Barton	1969	1	0	1
2408	Henri Devaux	None	1	0	0
10671	Martin David Kamen	None	1	0	0
5921	Herman Francis Mark	None	1	0	0
13019	Manfred Eigen	1967	1	0	1
2049	Burris Bell Cunningham	None	1	0	0
7160	Rudolph A Peters	None	1	0	0
10889	Luis Federico Leloir	1970	1	0	1
4159	Walter Hieber	None	1	0	0
4401	Erich Hückel	None	1	0	0
11115	Gerhard Schramm	None	1	0	0
3933	Odd Hassel	1969	1	0	1
8754	Harry Steenbock	None	1	0	0
2777	Conrad A Elvehjem	None	1	0	0
2632	George M Dyson	None	1	0	0
7722	Friedrich Richter	None	1	0	0
10800	Paul Charpentier	None	1	0	0
11108	Francis H Crick	None	1	0	0
11107	James D Watson	None	1	0	0
11109	Maurice Hugh Frederick Wilkins	None	1	0	0
10330	René Wurmser	None	1	0	0
10732	Egon Wiberg	None	1	0	0
10997	John C Kendrew	1962	1	0	1
6550	Erich Müller	None	1	0	0
3143	Ernest F Fourneau	None	1	0	0
10109	Arne Westgren	None	1	0	0
10622	Maria Goeppert-Mayer	None	1	0	0
5263	Wendell M Latimer	None	1	0	0
11105	John G Aston	None	1	0	0
3272	Casimir Funk	None	1	0	0
10539	Johannes Hans Daniel Jensen	None	1	0	0
1974	Charles D Coryell	None	1	0	0
9339	Thérèse Tréfouël	None	1	0	0
1495	Gladwyn A Buttle	None	1	0	0
3376	S A Geigy	None	1	0	0
5729	Paul Läuger	None	1	0	0
4794	Joseph W Kennedy	None	1	0	0
10979	Arthur Kornberg	None	1	0	0
4976	Izaak M Kolthoff	None	1	0	0
10487	Alexander E Braunstein	None	1	0	0
1150	Karl-Friedrich O Bonhoeffer	None	1	0	0
2462	Edward C Dodds	None	1	0	0
10878	Jean Brachet	None	1	0	0
9021	Hugh S Taylor	None	1	0	0
5319	Paul M Lebeau	None	1	0	0
4016	George W Heise	None	1	0	0
10818	Alexandre Vladimiravitche Palladine	None	1	0	0
11114	Alfred Gierer	None	1	0	0
7511	Paul Rabe	None	1	0	0
8589	John Clarks Slater	None	1	0	0
10573	Georges Lemaître	None	1	0	0
7725	Sir Eric Keightley Rideal	None	1	0	0
10090	Louis B Werner	None	1	0	0
4375	Friedrich Hund	None	1	0	0
8227	Rudolf Schoenheimer	None	1	0	0
3914	Paul Harteck	None	1	0	0
10247	Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky]	None	1	0	0
10841	Bernard L Horecker	None	1	0	0
8957	Leo Szilard	None	1	0	0
10583	Ilya Prigogine	None	1	0	0
4271	Bror Holmberg	None	1	0	0
1070	Marietta Blau	None	1	0	0
13217	Charles Wagner	None	1	0	0
10740	Boris A Arbuzov	None	1	0	0
4789	Edward C Kendall	None	1	0	0
6270	Karl Miescher	None	1	0	0
1459	Wilhelm Gerhard Burgers	None	1	0	0
4702	Bogdan Kamienski	None	1	0	0
4420	Erik Hägglund	None	1	0	0
10743	Ernest F Gale	None	1	0	0
10744	Joan P Folkes	None	1	0	0
9984	Otto H Warburg	None	1	0	0
9928	Arthur C Wahl	None	1	0	0
3826	John W Hamaker	None	1	0	0
8488	Glenn E Sheline	None	1	0	0
10656	Gunter Scheibe	None	1	0	0
