nominee_id,nominee_name,year_NP,n nomin,range,NP
10983,William G Pfann,None,8,9,0
14176,Robert William Holley,None,8,2,0
10904,Gerold Karl Schwarzenbach,None,8,12,0
8589,John Clarks Slater,None,8,15,0
3649,Victor Grignard,1912,7,5,1
10241,Adolf O Windaus,1928,7,2,1
8398,Nikolay Nikolaevich Semenov,1956,7,10,1
10654,George Porter,1967,7,12,1
359,Kurt Alder,1950,7,14,1
521,Ossian Aschan,None,7,16,0
3904,Carl Harries,None,7,4,0
559,Carl Auer von Welsbach,None,7,7,0
5042,Hans Adolf Krebs,None,7,4,0
6817,Severo Ochoa,None,7,3,0
494,Fritz Arndt,None,7,6,0
13371,Rudolf Criegee,None,7,5,0
13385,H Selig,None,7,2,0
13384,J G Malm,None,7,2,0
10917,Henri Normant,None,7,2,0
14663,Geoffrey Wilkinson,None,7,3,0
11108,Francis H Crick,None,7,2,0
11107,James D Watson,None,7,2,0
7866,William C Rose,None,7,17,0
10739,Alexander E Arbuzov,None,7,12,0
14296,Sol Spiegelmann,None,7,4,0
5945,Archer John Porter Martin,1952,6,2,1
1487,Adolf F Butenandt,1939,6,5,1
7399,Fritz Pregl,1923,6,6,1
9282,Arne W Tiselius,1948,6,1,1
3096,Karl A Folkers,None,6,13,0
2903,Kasimir Fajans,None,6,6,0
7007,Paul V Pascal,None,6,34,0
4159,Walter Hieber,None,6,17,0
14005,Alfred Rieche,None,6,5,0
13383,H H Claassen,None,6,1,0
13978,Alan Walsh,None,6,4,0
4768,David Keilin,None,6,11,0
2031,William Crookes,None,6,3,0
13062,Bernard Pullman,None,6,6,0
13060,Alberte Pullman,None,6,6,0
7317,Michael Polanyi,None,6,11,0
10980,Kenneth Sanborn Pitzer,None,6,2,0
10810,Anthony Leonid Turkevich,None,6,0,0
9953,Otto Wallach,1910,5,3,1
8646,Frederick Soddy,1921,5,11,1
2799,Carl Engler,None,5,7,0
287,John J Abel,None,5,2,0
782,George Wells Beadle,None,5,4,0
10742,Heinz L Fraenckel-Conrat,None,5,7,0
10207,Robley Cook Williams,None,5,17,0
4006,Sir Ian Morris Heilbron,None,5,2,0
8185,Wilhelm Schlenk,None,5,11,0
7110,Marguerite Perey,None,5,14,0
14002,Albert Eschenmoser,None,5,5,0
7361,Albert Portevin,None,5,18,0
10878,Jean Brachet,None,5,8,0
11154,Konrad Bloch,None,5,3,0
7603,Albert Recoura,None,5,11,0
5627,Ernest Lord Rutherford,1908,4,1,1
6393,Stanford Moore,1972,4,4,1
6062,Edwin Mattison McMillan,1951,4,3,1
8764,William Howard Stein,1972,4,4,1
9710,Karl von Auwers,None,4,0,0
3469,Domingo Giribaldo,None,4,0,0
10592,Charles Prévost,None,4,5,0
14291,C Wagner,None,4,2,0
6696,Paul Niggli,None,4,0,0
9015,Edward Lawrie Tatum,None,4,0,0
4881,Peter Klason,None,4,4,0
11122,Britton Chance,None,4,5,0
6731,Ida Noddack,None,4,4,0
10521,Ralph Walter G Wyckoff,None,4,3,0
1933,James Wilfred Cook,None,4,10,0
5597,Fritz London,None,4,26,0
1419,Johannes N Brönsted,None,4,20,0
3461,Francesco Giordani,None,4,0,0
10487,Alexander E Braunstein,None,4,17,0
1150,Karl-Friedrich O Bonhoeffer,None,4,22,0
3995,Michael J Heidelberger,None,4,19,0
5504,Kaj Ulrik Linderstrøm-Lang ,None,4,8,0
10825,Alexander P Vinogradov,None,4,3,0
3172,Adolph Frank,None,4,9,0
10939,Walter H Schottky,None,4,10,0
1428,Eduard Buchner,1907,3,2,1
4613,Frédéric Joliot,1935,3,0,1
8946,Richard L M Synge,1952,3,2,1
4615,Irène Joliot-Curie,1935,3,0,1
14740,Klaus Biemann,None,3,2,0
2955,Enrico Fermi,None,3,2,0
694,Philippe Barbier,None,3,10,0
14678,Arie Jan Haagen-Smit ,None,3,2,0
5529,Fritz Albert Lipmann,None,3,2,0
14633,Frank Harold Spedding,None,3,0,0
2466,William von Eggers Doering,None,3,22,0
7351,William J Pope,None,3,26,0
13997,Rudolf Hoppe,None,3,5,0
14769,František Šorm,None,3,3,0
3221,Herbert Freundlich,None,3,15,0
1611,Nikodem Caro,None,3,11,0
5199,Hans Landolt,None,3,1,0
14724,Georgy Nikolayevich Flerov,None,3,1,0
6439,Edward W Morley,None,3,8,0
7790,Jean Roche,None,3,2,0
10502,Georg-Maria M Schwab,None,3,5,0
3143,Ernest F Fourneau,None,3,10,0
13084,Aleksandr Nikolaevich Nesmejanov,None,3,1,0
15553,Harden M McConnell,None,3,1,0
13350,Bernd Theodor Matthias,None,3,6,0
1582,Stanislao Cannizzaro,None,3,0,0
13364,František Šorm,None,3,0,0
10737,Iwan Nikolov N Stranski,None,3,2,0
4976,Izaak M Kolthoff,None,3,17,0
14651,Esmond Emerson Snell,None,3,2,0
14596,Frank Albert Cotton,None,3,3,0
15602,Jerker Porath,None,3,1,0
1951,Robert B Corey,None,3,1,0
9905,Emil Votocek,None,3,0,0
11084,Roger J Williams,None,3,0,0
2412,Sir James Dewar,None,3,1,0
4701,Heike Kamerlingh Onnes,None,3,1,0
9383,Alexander Tschirch,None,3,14,0
8538,Lars Gunnar Sillén,None,3,4,0
14289,Robert Schwyzer,None,3,4,0
4487,James C Irvine,None,3,5,0
13017,Alfred Champagnat,None,3,7,0
8403,Jean B Senderens,None,3,20,0
9984,Otto H Warburg,None,3,31,0
11111,Alfred D Hershey,None,3,9,0
13374,K Yamafuji,None,3,0,0
14733,Donald James Cram,1987,2,1,1
900,Friedrich Bergius,1931,2,2,1
2051,Marie Curie,1911,2,0,1
6445,Harmon N Morse,None,2,7,0
5703,Georg Lunge,None,2,0,0
11095,Clemens Schöpf,None,2,4,0
1048,Niels Bjerrum,None,2,4,0
7160,Rudolph A Peters,None,2,18,0
10323,Dorothy M Wrinch,None,2,0,0
13889,G I Arnon,None,2,0,0
2990,Louis F Fieser,None,2,0,0
6562,Erwin Wilhelm Müller,None,2,2,0
2777,Conrad A Elvehjem,None,2,5,0
4670,Sophus M Jörgensen,None,2,0,0
10492,Claude S Hudson,None,2,0,0
2508,Frederick G Donnan,None,2,2,0
5093,Moses Kunitz,None,2,0,0
14734,George Andrew Olah,None,2,1,0
10397,Frits Zernike,None,2,0,0
11109,Maurice Hugh Frederick Wilkins,None,2,2,0
3878,Arthur R Hantzsch,None,2,19,0
10732,Egon Wiberg,None,2,6,0
1930,Edward Joseph Conway,None,2,9,0
5950,Pierre E Martin,None,2,0,0
282,Emil Abderhalden,None,2,3,0
1118,Niels Bohr,None,2,9,0
8200,Carl F Schmidt,None,2,0,0
8311,Otto W Schönherr,None,2,3,0
11105,John G Aston,None,2,6,0
13083,Peter L Pauson,None,2,0,0
3272,Casimir Funk,None,2,20,0
8913,Umetaro Suzuki,None,2,0,0
2785,Friedrich Emich,None,2,1,0
1925,Raphael Consden,None,2,1,0
3554,Arthur H Gordon,None,2,1,0
5505,Axel E Lindh,None,2,2,0
518,Yasuhiko Asahina,None,2,1,0
10494,William Hume-Rothery,None,2,5,0
15660,Christian Klixbüll-Jørgensen ,None,2,0,0
4254,Fritz Hofmann,None,2,0,0
4791,Sir Ernest Lawrence Kennaway,None,2,2,0
3182,Edward C Franklin,None,2,2,0
5997,Joseph Mattauch,None,2,4,0
15585,Gilbert Stork,None,2,1,0
8542,Sir Francis E Simon,None,2,2,0
10728,Erwin Chargaff,None,2,2,0
10819,Alexander Ivanovich Oparin,None,2,5,0
13388,Arthur Holmes,None,2,1,0
10474,Louis Néel,None,2,2,0
3236,Otto Robert Frisch,None,2,1,0
15601,Pehr Victor Edman,None,2,1,0
15795,Kai Manne Börje Siegbahn ,None,2,1,0
11114,Alfred Gierer,None,2,2,0
8513,Henry Siedentopf,None,2,1,0
9549,Donald D van Slyke,None,2,4,0
2849,Arnold Eucken,None,2,4,0
10988,T R Seshadri,None,2,2,0
10860,Yevgeny Konstantinovich Zavoisky,None,2,2,0
4375,Friedrich Hund,None,2,12,0
11140,Leslie E Orgel,None,2,9,0
3914,Paul Harteck,None,2,15,0
6477,Charles Moureu,None,2,8,0
10247,Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky],None,2,31,0
10841,Bernard L Horecker,None,2,4,0
8975,Bruno Tacke,None,2,8,0
10653,Roberto Piontelli,None,2,0,0
10583,Ilya Prigogine,None,2,6,0
7380,Frederick B Power,None,2,2,0
5112,William Küster,None,2,0,0
5896,Leon Marchlewski,None,2,0,0
4420,Erik Hägglund,None,2,22,0
9933,Selman A Waksman,None,2,1,0
10907,Yoshiyuki Toyama,None,2,0,0
5523,Karl Paul Link,None,2,16,0
10660,Félix Trombe,None,2,6,0
3364,Armand Gautier,None,2,14,0
826,Martinus W Beijerinck,None,2,1,0
911,Max Bergmann,None,2,5,0
4527,Pierre Jacquet,None,2,2,0
1610,Heinrich Caro,None,2,3,0
9461,Harold Clayton Urey,1934,1,0,1
3887,Arthur Harden,1929,1,0,1
546,Francis W Aston,1922,1,0,1
